%time,field.header.seq,field.header.stamp,field.header.frame_id,field.load
1701463353553725634,247,1701463353547995189,,0.0
1701463353561878122,248,1701463353552995189,,0.0
1701463353565994532,249,1701463353557995189,,0.0
1701463353570056194,250,1701463353561995189,,0.0
1701463353574198632,251,1701463353566995189,,0.0
1701463353578599291,252,1701463353571995189,,0.0
1701463353582297895,253,1701463353576995189,,0.0
1701463353586419247,254,1701463353581995189,,0.0
1701463353594636696,255,1701463353585995189,,0.0
1701463353598578147,256,1701463353590995189,,0.0
1701463353602822858,257,1701463353595995189,,0.0
1701463353606755780,258,1701463353599995189,,0.0
1701463353611278688,259,1701463353604995189,,0.0
1701463353615391760,260,1701463353610995189,,0.0
1701463353623287096,261,1701463353614995189,,0.0
1701463353627303964,262,1701463353619995189,,0.0
1701463353631461743,263,1701463353624995189,,0.0
1701463353635548157,264,1701463353628995189,,0.0
1701463353639645410,265,1701463353633995189,,0.0
1701463353644279603,266,1701463353638995189,,0.0
1701463353652287809,267,1701463353642995189,,0.0
1701463353656121171,268,1701463353647995189,,0.0
1701463353659930430,269,1701463353653995189,,0.0
1701463353664305229,270,1701463353657995189,,0.0
1701463353668258155,271,1701463353662995189,,0.0
1701463353672389280,272,1701463353666995189,,0.0
1701463353680650117,273,1701463353671995189,,0.0
1701463353684457316,274,1701463353676995189,,0.0
1701463353688724424,275,1701463353680995189,,0.0
1701463353693109927,276,1701463353685995189,,0.0
1701463353697206313,277,1701463353690995189,,0.0
1701463353701288585,278,1701463353694995189,,0.0
1701463353709261734,279,1701463353700995189,,0.0
1701463353713667898,280,1701463353705995189,,0.0
1701463353717488972,281,1701463353709995189,,0.0
1701463353721490132,282,1701463353714995189,,0.0
1701463353725972014,283,1701463353719995189,,0.0
1701463353730025680,284,1701463353723995189,,0.0
1701463353738090158,285,1701463353728995189,,0.0
1701463353742221529,286,1701463353733995189,,0.0
1701463353746348590,287,1701463353738995189,,0.0
1701463353750318772,288,1701463353743995189,,0.0
1701463353754206639,289,1701463353747995189,,0.0
1701463353758364969,290,1701463353752995189,,0.0
1701463353766657767,291,1701463353757995189,,0.0
1701463353770964742,292,1701463353761995189,,0.0
1701463353774709997,293,1701463353766995189,,0.0
1701463353779239846,294,1701463353771995189,,0.0
1701463353782823003,295,1701463353775995189,,0.0
1701463353787079631,296,1701463353781995189,,0.0
1701463353795278421,297,1701463353786995189,,0.0
1701463353799326840,298,1701463353790995189,,0.0
1701463353803788608,299,1701463353795995189,,0.0
1701463353807596686,300,1701463353800995189,,0.0
1701463353811582322,301,1701463353804995189,,0.0
1701463353816059979,302,1701463353809995189,,0.0
1701463353823831021,303,1701463353814995189,,0.0
1701463353827959200,304,1701463353818995189,,0.0
1701463353832058691,305,1701463353824995189,,0.0
1701463353836349627,306,1701463353828995189,,0.0
1701463353840293449,307,1701463353833995189,,0.0
1701463353844647417,308,1701463353838995189,,0.0
1701463353848839107,309,1701463353842995189,,0.0
1701463353856773593,310,1701463353847995189,,0.0
1701463353860764455,311,1701463353852995189,,0.0
1701463353864847725,312,1701463353856995189,,0.0
1701463353869077957,313,1701463353861995189,,0.0
1701463353873278226,314,1701463353867995189,,0.0
1701463353877382450,315,1701463353871995189,,0.0
1701463353885312515,316,1701463353876995189,,0.0
1701463353889465453,317,1701463353881995189,,0.0
1701463353894059451,318,1701463353885995189,,0.0
1701463353897777349,319,1701463353890995189,,0.0
1701463353901832956,320,1701463353895995189,,0.0
1701463353906053565,321,1701463353899995189,,0.0
1701463353914206195,322,1701463353904995189,,0.0
1701463353918325321,323,1701463353910995189,,0.0
1701463353922210269,324,1701463353914995189,,0.0
1701463353926265898,325,1701463353919995189,,0.0
1701463353930752684,326,1701463353923995189,,0.0
1701463353934508842,327,1701463353928995189,,0.0
1701463353942711895,328,1701463353933995189,,0.0
1701463353947024881,329,1701463353937995189,,0.0
1701463353950822068,330,1701463353942995189,,0.0
1701463353955268773,331,1701463353947995189,,0.0
1701463353959080044,332,1701463353952995189,,0.0
1701463353963765553,333,1701463353957995189,,0.0
1701463353971353489,334,1701463353962995189,,0.0
1701463353975466736,335,1701463353966995189,,0.0
1701463353979602997,336,1701463353971995189,,0.0
1701463353983807252,337,1701463353976995189,,0.0
1701463353987667625,338,1701463353980995189,,0.0
1701463353992045489,339,1701463353985995189,,0.0
1701463354000128320,340,1701463353990995189,,0.0
1701463354004149223,341,1701463353995995189,,0.0
1701463354008182691,342,1701463354000995189,,0.0
1701463354012520863,343,1701463354004995189,,0.0
1701463354016356141,344,1701463354009995189,,0.0
1701463354020691929,345,1701463354014995189,,0.0
1701463354028779632,346,1701463354018995189,,0.0
1701463354032833164,347,1701463354023995189,,0.0
1701463354036888733,348,1701463354028995189,,0.0
1701463354040964534,349,1701463354032995189,,0.0
1701463354045053659,350,1701463354038995189,,0.0
1701463354049522587,351,1701463354043995189,,0.0
1701463354057705908,352,1701463354047995189,,0.0
1701463354061753752,353,1701463354052995189,,0.0
1701463354065661082,354,1701463354057995189,,0.0
1701463354069572444,355,1701463354061995189,,0.0
1701463354073739703,356,1701463354066995189,,0.0
1701463354077980417,357,1701463354071995189,,0.0
1701463354082301571,358,1701463354075995189,,0.0
1701463354090393042,359,1701463354081995189,,0.0
1701463354094289588,360,1701463354086995189,,0.0
1701463354098317902,361,1701463354090995189,,0.0
1701463354102422873,362,1701463354095995189,,0.0
1701463354106723518,363,1701463354099995189,,0.0
1701463354110976435,364,1701463354104995189,,0.0
1701463354118992133,365,1701463354109995189,,0.0
1701463354123259013,366,1701463354113995189,,0.0
1701463354126984634,367,1701463354118995189,,0.0
1701463354131150531,368,1701463354124995189,,0.0
1701463354135290384,369,1701463354128995189,,0.0
1701463354139345493,370,1701463354133995189,,0.0
1701463354147455671,371,1701463354138995189,,0.0
1701463354151554943,372,1701463354142995189,,0.0
1701463354155869280,373,1701463354147995189,,0.0
1701463354159741160,374,1701463354152995189,,0.0
1701463354164034738,375,1701463354156995189,,0.0
1701463354168069042,376,1701463354161995189,,0.0
1701463354176207044,377,1701463354167995189,,0.0
1701463354180303014,378,1701463354171995189,,0.0
1701463354184399888,379,1701463354176995189,,0.0
1701463354188535777,380,1701463354180995189,,0.0
1701463354192507550,381,1701463354185995189,,0.0
1701463354196862509,382,1701463354190995189,,0.0
1701463354204862002,383,1701463354194995189,,0.0
1701463354208916475,384,1701463354199995189,,0.0
1701463354213225370,385,1701463354204995189,,0.0
1701463354217288159,386,1701463354209995189,,0.0
1701463354221338791,387,1701463354214995189,,0.0
1701463354225596812,388,1701463354219995189,,0.0
1701463354233386134,389,1701463354223995189,,0.0
1701463354237655730,390,1701463354228995189,,0.0
1701463354241736939,391,1701463354233995189,,0.0
1701463354245801243,392,1701463354237995189,,0.0
1701463354254134447,393,1701463354245995189,,0.0
1701463354258248266,394,1701463354250995189,,0.0
1701463354262385466,395,1701463354255995189,,0.0
1701463354266323759,396,1701463354260995189,,0.0
1701463354274415571,397,1701463354264995189,,0.0
1701463354278656468,398,1701463354269995189,,0.0
1701463354283028428,399,1701463354279558925,,0.0
1701463354286853477,400,1701463354283558925,,0.0
1701463354290861569,401,1701463354288558925,,0.0
